Name ,Postcode,Latitude,Longitude,Type,Telephone,Website
Ilkley Town Centre ,LS29 8HF,53.924673,-1.8223324,Market,,https://m.facebook.com/ilkleyfoodmarket/?fref=nf
Millennium Square,LS2 3AD,53.800964,-1.5480593,Market,0113 3950891,http://www.leeds.gov.uk/Events/Pages/leeds-christkindelmarkt.aspx
Otley Market Square,LS21 3AQ,53.905604,-1.6940257,Market,0113 378 1950,http://www.visitotley.co.uk
Leeds Kirkgate Market,LS2 7HY,53.79763,-1.5386368,Market,0113 378 1950,http://www.leedsmarkets.co.uk
Pudsey Market,LS2 7HY,53.79763,-1.5386368,Market,0113 214 5177,www.leedsmarkets.co.uk
Yellow Sunrise,LS1 7BR,53.795991,-1.5402033,Shop,0113 234 1107,http://www.yellowsunrise.co.uk
Red Tattoo and Piercing,LS1 7BR,53.795991,-1.5402033,Shop,0113 242 0413,http://www.redtattooandpiercing.com
Shabby Chic Boutique,LS1 6LF,53.798292,-1.5427287,Shop,0113 2433303,
Pylones,LS1 6LF,53.798292,-1.5427287,Shop,0113 2342605,http://www.pylones.com/en
Bead Hive,LS1 7BR,53.795991,-1.5402033,Shop,0113 2340363,http://www.bead-hive.co.uk
Handpicked Hall,LS1 6PG,53.800252,-1.5403996,Shop,,
Bayliffe & Lupton,LS1 6BN,53.79844,-1.5414063,Shop,0113 243 2324,
Welcome Skate Store,LS1 6LQ,53.798616,-1.5427404,Shop,0113 2340185,http://welcomeleeds.com/
Mellow Moments,LS1 6LQ,53.798616,-1.5427404,Shop,0113 234 6779,
Rebecca Jade's Vintage Shop,LS18 4NW,53.832027,-1.6382977,Shop,07513 035211,http://www.leedsvintage.com/
On The Wall,LS1 6EN,53.79566,-1.5430913,Shop,0113 2469202,http://www.onthewall.co.uk
Twit-Woo Vintage Boutique,LS1 7BR,53.795991,-1.5402033,Shop,01132 461 331,http://www.facebook.com/twitwoovintage
Summerhouse,LS1 6PG,53.800252,-1.5403996,Shop,07736 681275,https://loftleeds.wordpress.com/
Leeds Art Gallery,LS1 3AA,53.800362,-1.5481416,Shop,0113 247 8256,http://www.leeds.gov.uk/artgallery
Simcha Gallery,LS1 7BR,53.795991,-1.5402033,Shop,07967 750 588,http://www.simchagallery.co.uk
White Stuff,LS1 7JH,53.798424,-1.5395239,Shop,0113 2429586,http://www.whitestuff.com/shop/leeds
The Juju Shop,LS1 6BR,53.796789,-1.5420922,Shop,0113 3184957,http://www.thejujushop.com
The Light,LS1 8TL,53.800047,-1.5456399,Shop,0113 218 2060,http://www.predatornutrition.com/
Rose and Co Apothecary Leeds,LS1 6BN,53.79844,-1.5414063,Shop,0113 245 4701,www.rose-apothecary.co.uk
Aqua,LS1 6AZ,53.797891,-1.541139,Shop,0113 243 3336,http://www.aquacouture.co.uk
The Corn Exchange,LS1 7BR,53.795991,-1.5402033,Shop,0113 234 0363,http://www.leedscornexchange.co.uk
Louis Vuitton,LS1 6NP,53.798648,-1.5417076,Shop,0113 386 3120,
Dark Arches,LS1 4BR,53.793741,-1.5489566,Shop,0113 242 5242,www.visitleeds.co.uk
Liz Earle,LS1 6BE,53.798232,-1.5410442,Shop,0113 288 5940,http://www.lizearle.co.uk
Moorcroft,LS1 6BW,53.79836,-1.5415438,Shop - Antiques,0113 234 6363,http://www.moorcroft.com
The Light,LS1 8TL,53.800047,-1.5456399,Shop - Arts & Craft,0113 218 2060,http://www.fabric-ation.co.uk/
Fabrication,LS1 8TL,53.800047,-1.5456399,Shop - Arts & Craft,0113 243 910,http://www.fabric-ation.co.uk
Cootchie-Coo,LS1 6BH,53.798365,-1.5405569,Shop - Baby/Children,0113 2460206,http://www.cootchie-coo.com
Village Bookstore,LS1 7BR,53.795991,-1.5402033,Shop - Book,0113 246 9801,http://www.villagebookstore.co.uk
Radish,LS7 4NZ,53.830749,-1.538182,Shop - Book,0113 2694241 ,www.radishweb.co.uk
Waterstone's Leeds,LS1 5JS,53.798816,-1.5458202,Shop - Book,0113 244 4588,http://www.waterstones.com
Berketex Bride,LS1 6LH,53.798336,-1.542379,Shop - Bridalwear,0113 2467800,http://www.berketexbride.com/
The Leeds Gift Book,LS1 1PL,,,Charity,0113 242 5242,
Otley Run Fancy Dress,LS12 3QY,53.797392,-1.6028124,Shop - Costume Hire,07542 914 077   ,http://www.otleyrunfancydress.co.uk/
House of Fraser Leeds,LS1 6LS,53.799127,-1.544663,Shop - Department Store,0844 800 3739,www.houseoffraser.co.uk
Debenhams Leeds,LS1 6LX,53.797579,-1.5417648,Shop - Department Store,0844 561 6161,www.debenhams.com
Swithens Farm,LS26 0BT,53.738845,-1.4746659,Shop - Farm,0113 2828828,
Dirty Girl Male Boutique,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 243 2444,
MKi,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 2468 917,http://www.mkistore.co.uk/index.php
Little Pink Jewellery House,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 234 1107,http://leedscornexchange.co.uk/shops/little-pink-jewellery-house
Lou Lou Puchalka,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 242 2453,https://plus.google.com/115831383232366522592/about?gl=uk&hl=en
Candy Candy,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,01132 454 955,http://www.candycandyjewellery.co.uk
Tunnel,LS1 6LF,53.798292,-1.5427287,Shop - Fashion,0113 2439996,
Lipsy,LS1 6LB,53.798492,-1.5432731,Shop - Fashion,0844 844 8287,http://www.lipsy.co.uk
LEVI'S®,LS1 6LB,53.798492,-1.5432731,Shop - Fashion,0113 2469456,http://www.levi.com
Audere Couture,LS1 6DX,53.796382,-1.5415805,Shop - Fashion,0113 243 4694,http://www.auderecouture.com
Pebbles Hats,LS1 6DX,53.796382,-1.5415805,Shop - Fashion,0113 2456046,
Gossip,LS1 6BR,53.796789,-1.5420922,Shop - Fashion,,http://www.twitter.com/gossipunit13
Vanity Lane,LS1 6DX,53.796382,-1.5415805,Shop - Fashion,0113 2431962,
Lisa Jayne Dann,LS1 6 DX,53.796382,-1.5415805,Shop - Fashion,0113 2439644,http://www.lisajaynedann.co.uk
The Kooples,LS1 6AX,53.797792,-1.5412008,Shop - Fashion,0113 242 1411,http://www.thekooples.co.uk
Whistles,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 243 9574,http://www.whistles.co.uk
Hawes & Curtis,LS1 6BN,53.79844,-1.5414063,Shop - Fashion,0113 243 1344,http://www.hawesandcurtis.com
Pretty Green,LS1 6AX,53.797792,-1.5412008,Shop - Fashion,0113 242 2447,http://www.prettygreen.com
Radley,LS1 6BN,53.79844,-1.5414063,Shop - Fashion,0113 234 1916,http://www.radleyandco.com
Shade Station,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 245 8136,http://www.shadestation.co.uk
Ted Baker,LS1 6BD,53.79808,-1.5412887,Shop - Fashion,0113 245 3713,http://www.tedbaker.com
Aspecto,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 245 0150,
Hobbs,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 245 4014,http://www.hobbs.co.uk
Nicholas Deakins,LS1 6EA,53.795683,-1.54426,Shop - Fashion,0113 234900 ,http://www.nicholasdeakins.com
Joules,LS1 6AX,53.797792,-1.5412008,Shop - Fashion,0113 247 0257,http://www.joules.com
T.M.Lewin,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 245 1018,http://www.tmlewin.co.uk
Jigsaw,LS1 6AX,53.797792,-1.5412008,Shop - Fashion,0113 245 7967,http://www.jigsaw-online.com
French Connection,LS1 6BB,53.797771,-1.5404875,Shop - Fashion,0113 243 5509,http://www.frenchconnection.com
Karen Millen,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 244 6505,http://www.karenmillen.com
Chimp,LS1 6LQ,53.798616,-1.5427404,Shop - Fashion,0113 2349979,http://www.thechimpstore.com/
The Allotment,LS1 6DX,53.796382,-1.5415805,Shop - Fashion,0113 244 5270,http://www.allotmentstore.com/
Open Lifestyle Store,LS1 6LQ ,53.798616,-1.5427404,Shop - Fashion,0113 243 4099,
The Hip Store,LS1 7BT,53.795256,-1.5408793,Shop - Fashion,0113 246 0347,http://thehipstore.co.uk/
Pulp,LS1 5AT,53.796806,-1.5443237,Shop - Fashion,0344 3325908,http://www.thisispulp.co.uk
Alice Found Treasure,LS1 7RB,53.795889,-1.540881,Shop - Fashion,0113 234 0363,https://www.facebook.com/pages/Alice-Found-Treasure/334117483350257
Lambert's Yard,LS1 6LY,53.795333,-1.5422144,"Shop - Fashion, Home, Beauty, Lifestyle",0113 302 3077,http://www.lambertsyard.uk.com/
Harvey Nichols,LS1 6AZ,53.797891,-1.541139,Shop - Fashion,0113 204 8888,http://www.harveynichols.com
The Light,LS1 8TL,53.800047,-1.5456399,Shop - Fashion,0113 244 8804,http://www.arkclothing.com/
The Light,LS1 8TL,53.800047,-1.5456399,Shop - Fashion,0113 2422148,
The Light,LS1 8TL,53.800047,-1.5456399,Shop - Fashion,0113 245 5114,http://www.oneill.com/en-gb/
Vivienne Westwood,LS1 6BW,53.79836,-1.5415438,Shop - Fashion,0113 245 6403,
Mulberry,LS1 6BW,53.79836,-1.5415438,Shop - Fashion,0113 234 6084,
Paper Scissor  Stone ,LS2 7DF,53.796322,-1.5374518,Shop - Fashion,0113 244 1398,
Urban Outfitters ,LS1 5AA,53.79797,-1.5454498,Shop - Fashion,0113 245 4766,
Joy,LS1 5AA,53.79797,-1.5454498,Shop - Fashion,0113 246 9598,
Vicky Martin,LS1 6BE,53.798232,-1.5410442,Shop - Fashion,0113 244 1477 ,
Great Clothes ,LS9 9AA,53.79772,-1.5226797,Shop - Fashion,0113 235 0303,
Flannels,LS1 7JH,53.798424,-1.5395239,Shop - Fashion,0113 234 9977 ,
Bravissimo,LS1 6AZ,53.797891,-1.541139,Shop - Fashion,0113 247 1259 ,
Culture Vulture,LS1 6DQ,53.796176,-1.5416435,Shop - Fashion,0113 244 4677,http://www.culture-vulture.co.uk
Dawn Stretton,LS1 6DE,53.79648,-1.5410936,Shop - Fashion,0113 244 9083 ,
Paul Smith,LS1 6AX,53.797792,-1.5412008,Shop - Fashion,0113 2450728,
All Saints,LS1 6BD,53.79808,-1.5412887,Shop - Fashion,0113 2432434,
G Star Raw,LS10 1PZ,53.790853,-1.5318804,Shop - Fashion,0113 245 6222,
Replay,LS10 1PZ,53.790853,-1.5318804,Shop - Fashion,0113 243 2069,
Henri Lloyd,LS1 8TL,53.800047,-1.5456399,Shop - Fashion,0113 243 6343,
The Third Estate ,LS2 8PJ,53.802274,-1.545054,Shop - Fashion,0113 244 8896,
Lily De La Mer,LS2 8JE,53.80041,-1.5418403,Shop - Fashion, 07814 127592 ,
Retro Boutique,LS6 2AS,53.8151,-1.562093,Shop - Fashion,0113 2782653 ,
Best Vintage,LS1 6DG,53.796515,-1.5408655,Shop - Fashion,0113 245 5101,
Pop Boutique,LS1 6DE,53.79648,-1.5410936,Shop - Fashion,01132 432264 ,
Ryan Vintage,LS1 6LY,53.795333,-1.5422144,Shop - Fashion,0113 2443090 ,
The story of O,LS6 2NW,53.814711,-1.5612161,Shop - Fashion,0113 275 1969,
Upstaged Vintage,LS1 6PG,53.800252,-1.5403996,Shop - Fashion,0113 243 5855,
G-Star,LS10 1PZ,53.790853,-1.5318804,Shop - Fashion,0113 245 6222 ,
Your Dressing Room,LS1 6LF,53.798292,-1.5427287,Shop - Fashion,0113 243 0805,http://www.facebook.com/YourDressingRoomLeeds
Bolongaro Trevor,LS1 6LQ,53.798616,-1.5427404,Shop - Fashion,0113 245 5002,www.bolongarotrevor.com
Accent Clothing,LS1 6LF,53.798292,-1.5427287,Shop - Fashion,0113 234 6767,http://www.accentclothing.com
Mad Elizabeth Vintage,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,,http://madelizabeth.co.uk/
Top Shop Briggate,LS1 6HD,53.79689,-1.5428047,Shop - Fashion,0113 243 4232,www.topshop.com
Charbonnel Et Walker,LS1 6BW,53.79836,-1.5415438,Shop - Food,0113 245 2627,http://www.charbonnel.co.uk
Gobstoppers,LS1 5ER ,53.796319,-1.5461052,Shop - Food,0113 245 3801 ,http://www.gobstoppers.net
Candy Hero,LS1 6LB,53.798492,-1.5432731,Shop - Food,03330 143 413,http://www.candyhero.com
Mr Simm's Olde Sweet Shoppe,LS1 6AD,53.798381,-1.5446559,Shop - Food,01785 850660,http://www.mrsimmsoldesweetshoppe.co.uk
Out of this World,LS1 6DG,53.796515,-1.5408655,Shop - Food,0113 244 1881,
Bon Bon's ,LS1 6LQ,53.798616,-1.5427404,Shop - Food,0113 244 0890,http://www.bonbons.co.uk
Millie's Fresh and Organic,LS1 6PJ,53.799873,-1.5400546,Shop - Food,0113 242 9217,www.milliesleeds.co.uk
Wing Lee Hong Chinese Supermarket,LS2 7NT,53.799967,-1.5388845,Shop - Food,0113 245 7203,
Hotel Chocolat,LS1 6JS,53.797692,-1.5431451,Chocolatier,0113 2425050,http://www.hotelchocolat.co.uk
Latitude Wine and Liquor Merchant,LS2 7EB,53.795174,-1.5405917,Shop - Food,0113 245 3393,www.latitudewine.co.uk
Michelsberg Tailoring,LS1 6BE,53.798232,-1.5410442,Shop - Formalwear Hire,0113 2420840,http://www.michelsberg.co.uk
Wish,LS1 5BQ,53.797712,-1.5460598,Shop - Gift,0113 244 4740,
Our Handmade Collective,LS1 6PG,53.800252,-1.5403996,Shop - Gift,0113 4182304,http://www.ourhandmadecollective.co.uk
Cadeaux,LS1 6AX,53.797792,-1.5412008,Shop - Gift,0113 234 6466,
King Koby's Chop Shop,LS1 7BR,53.795991,-1.5402033,Shop - Hair & Beauty,0113 245 1220,http://www.kingkoby.com
Space NK,LS1 6BA,53.797996,-1.5403484,Shop - Hair & Beauty,0113 242 6606,http://www.uk.spacenk.com
Illamasqua,LS1 6BN,53.79844,-1.5414063,Shop - Hair & Beauty,0203 603 5487,http://www.illamasqua.com
Crabtree & Evelyn,LS1 6BE,53.798232,-1.5410442,Shop - Hair & Beauty,0113 246 9460,http://www.crabtree-evelyn.co.uk
Neal's Yard,LS1 6BN,53.79844,-1.5414063,Shop - Hair & Beauty,0113 243 8924,http://www.nealsyardremedies.com
Pastille Beauty Bar,LS1 4GL,53.793461,-1.5487015,Shop - Hair & Beauty,0113 2462700,http://www.pastille.uk.com
Le Keux Vintage Salon,LS1 6LB,53.798492,-1.5432731,Shop - Hair & Beauty,0121 224 7377,
The Traditional Shaving Company,LS1 6PG,53.800252,-1.5403996,Shop - Hair & Beauty,0113 440 6411,http://www.traditionalshaving.co.uk
Ragdoll Nails,LS1 7BR,53.795991,-1.5402033,Shop - Hair & Beauty,0113 243 5045,http://www.ragdollnails.com
Jo Malone ,LS1 6BD,53.79808,-1.5412887,Shop - Hair & Beauty,0870 192 5141,
Hair Plus,LS1 6BN,53.79844,-1.5414063,Shop - Hair & Beauty,0113 234 1046,
Cutting Room Creative,LS7 4NB,53.828759,-1.5372163,Shop - Hair & Beauty,0113 269 7070,http://www.cuttingroomwired.co.uk/
Kiehl's,LS1 6BE,53.798232,-1.5410442,Shop - Health,0113 234 5891,http://www.kiehls.co.uk
My Vibrant Home,LS1 6PG,53.800252,-1.5403996,Shop - Homes & Gardens,0113 4408007,http://www.my-vibrant-home.co.uk
The White Company ,LS1 6BH,53.798365,-1.5405569,Shop - Homes & Gardens,0113 245 3925,
Dion Smith Jewellery,LS1 7BR,53.795991,-1.5402033,Shop - Jewellery,0113 244 2333,http://www.dionsmith.co.uk
Outrage Jewellers,LS1 7BR,53.795991,-1.5402033,Shop - Jewellery,0113 240096,http://www.outragejewellers.co.uk
Maya,LS1 6LF,53.798292,-1.5427287,Shop - Jewellery,,
Thomas Sabo,LS1 6BE,53.798232,-1.5410442,Shop - Jewellery,0113 234 1244,http://www.thomassabo.com
Follie Follie,LS1 6BE,53.798232,-1.5410442,Shop - Jewellery,0113 242 3945,http://www.folliefollie.co.uk
Berry's,LS1 6BD,53.79808,-1.5412887,Shop - Jewellery,0113 245 6100,http://www.berrysjewellers.co.uk
Yorkshire Jewellery,LS1 6BW,53.79836,-1.5415438,Shop - Jewellery,0113 242 8700,http://www.yorkshirejewelleryltd.co.uk
Azendi,LS1 6AX,53.797792,-1.5412008,Shop - Jewellery,0113 246 9458,http://www.azendi.com
Carat*,LS1 6BN,53.79844,-1.5414063,Shop - Jewellery,0113 2451395,http://www.carat.cc
Links of London,LS1 6BE,53.798232,-1.5410442,Shop - Jewellery,0113 2341395,http://www.linksoflondon.com
Argent Jewellery,LS1 6LQ,53.798616,-1.5427404,Shop - Jewellery,0113 245 3206,http://www.argentjewellery.co.uk/
Beaverbrooks,LS1 6EX,53.797289,-1.5436353,Shop - Jewellery,0113 2430741,http://www.beaverbrooks.co.uk
Blue Rinse Leeds,LS1 7DH,53.796294,-1.5396838,Shop - Jewellery,0113 245 1735 ,www.bluerinseleeds.co.uk
Form Bespoke Jewellers,LS7 3PD,53.828005,-1.5376348,Shop - Jewellery,0113 262 4064 ,www.formjewellery.com
Yum Yum Beads ,LS1 6LQ,53.798616,-1.5427404,Shop - Jewellery,0113 244 2888,
Swarovski ,LS1 6BE,53.798232,-1.5410442,Shop - Jewellery,0113 244 3993,
Northern Acoustics,LS1 7BR,53.795991,-1.5402033,Shop - Music,0113 245 2020,http://www.northernacoustics.co.uk
Waxwerks,LS1 2AJ,53.798561,-1.5496185,Shop - Music,0113 234 0418,http://www.facebook.com/waxwerks
Crash Records,LS1 6PU,53.798825,-1.5408707,Shop - Music,0113 243 6743 ,www.crashrecords.co.uk
Jumbo Records,LS2 8LQ,53.800166,-1.5437863,Shop - Music,0113 245 5570 ,www.jumborecords.co.uk
Knock on Wood ,LS2 7LY,53.798995,-1.5384852,Shop - Music,0113 242 9146,
Dawsons Music,LS1 6PJ,53.799873,-1.5400546,Shop - Music,0113 203 1470,http://www.dawsons.co.uk
The North Face,LS1 6AX,53.797792,-1.5412008,Shop - Outdoor,0113 203 1710,http://www.thenorthface.com
Oliver Sweeney,LS1 6BH,53.798365,-1.5405569,Shop - Shoe,0113 242 7864,http://www.oliversweeney.com
Kurt Geiger,LS1 6BD,53.79808,-1.5412887,Shop - Shoe,0113 234 4953,http://www.kurtgeiger.com
Jeffery West,LS1 6BW,53.79836,-1.5415438,Shop - Shoe,0113 244 3588,http://www.jeffery-west.co.uk
Moda in Pelle,LS1 6BD,53.79808,-1.5412887,Shop - Shoe,0113 246 8008 ,http://www.modainpelle.com
Church's Shoes,LS1 6BN,53.79844,-1.5414063,Shop - Shoe,0113 2471170,http://www.church-footwear.com
World of Dance,LS1 6DX,53.796382,-1.5415805,Shop - Specialist,0113 246 1100,http://www.worldofdance.org.uk
Chilli-Shop Ltd,LS2 8NG,53.801704,-1.5440885,Shop - Specialist,,http://www.chilli-shop.co.uk
OK Comics,LS1 6LQ,53.798616,-1.5427404,Shop - Specialist,0113 246 9366,http://www.okcomics.co.uk/
Sugar Lump,LS1 6LQ,53.798616,-1.5427404,Shop - Specialist,0113 245 2925 ,
Intersport Sporting Pro,LS5 3RP ,53.814558,-1.6024984,Shop - Sports,0333 0143444,
Yorkshire County Cricket Club,LS6 3DP,53.818821,-1.5821042,Shop - Sports,0843 504 3099,
Headingley Carnegie Stadium,LS6 3BR,53.816074,-1.5805823,Shop - Sports,0871 423 1315,http://www.leedsrugby.com
Leeds United Football Club,LS11 0ES,53.777178,-1.5715315,Shop - Sports,0871 334 2019 ,www.leedsunited.com
American Golf Discount Centre,LS8 1AA,53.844399,-1.5191551,Shop - Sports,0113 237 1878,
Roundhay Pro Golf Shop,LS8 2EJ,53.844921,-1.4995729,Shop - Sports,0113 2661686,
Bikology Cycles,LS6 1AG,53.813675,-1.5632469,Shop - Sports,0113 2249982,
Bob Jackson Cycles,LS13 3EG,53.806567,-1.6364061,Shop - Sports,0113 2551144,http://www.bobjacksoncycles.co.uk
Woodrup Cycles,LS4 2HD,53.806676,-1.5841079,Shop - Sports,0113 2636212,http://www.woodrupcycles.com/contact
Workout World,LS2 8NJ,53.801584,-1.5432547,Shop - Sports,0113 242 7499,
Leeds Angling Centre Ltd,LS12 3AQ,53.797665,-1.5877495,Shop - Sports,0113 263 9333,
Up and Running,LS16 5LQ,53.832543,-1.591996,Shop - Sports,0113 2788866,http://www.upandrunning.co.uk
Field Hockey World,LS27 9QS,53.753113,-1.6127844,Shop - Sports,0113 2532531,
Teddy & Co,LS1 7BR,53.795991,-1.5402033,Shop - Toy,0113 242 1840,http://www.teddyandcoleeds.co.uk
Lego Store,LS1 5AT,53.796806,-1.5443237,Shop - Toy,0113 2470823,http://www.lego.com/en-gb
The Entertainer,LS1 5AT,53.796806,-1.5443237,Shop - Toy,0113 2467531,http://www.thetoyshop.com/
Smyths Toys Superstore,LS10 1ET,53.788766,-1.5405251,Shop - Toy,0113 2469643,http://www.smythstoys.com
Armadillo Toys,LS7 4NY,53.829354,-1.5378175,Shop - Toy,0113 2667500,http://www.armadillotoys.co.uk
Armadillo Toys,LS18 4RJ,53.837249,-1.6412768,Shop - Toy,0113 2588777,http://www.armadillotoys.co.uk
Mary Shortle Toy Shop,LS1 6LF,53.798292,-1.5427287,Shop - Toy,0113 2456160,
Queens Arcade,LS1 6LF,53.798292,-1.5427287,Shopping Centre,01904 692200,
Central Arcade,LS1 6DE,53.79648,-1.5410936,Shopping Centre,07821 037 027,http://www.centralarcade.co.uk
The Grand Arcade,LS1 6PG,53.800252,-1.5403996,Shopping Centre,,http://www.grandarcadeleeds.co.uk/
Victoria Quarter,LS1 6AZ,53.797891,-1.541139,Shopping Centre/Retail Park,0113 242 5242,http://www.visitleeds.co.uk
The Light,LS1 8TL,53.800047,-1.5456399,Shopping Centre/Retail Park,0113 218 2060,http://www.thelightleeds.co.uk
Leeds Dock,LS9 8PB,53.792904,-1.5321612,Shopping Centre/Retail Park,0113 243 0111,http://www.leedsdock.com/
Thorntons Arcade,LS1 6LQ,53.798616,-1.5427404,Shopping Centre/Retail Park,0113 242 5242,http://www.visitleeds.co.uk
Trinity Leeds,LS1 5ER,53.796319,-1.5461052,Shopping Centre/Retail Park,0113 220 6900,http://www.trinityleeds.com
St Johns Centre,LS2 8LQ,53.800166,-1.5437863,Shopping Centre/Retail Park,0113 244 6315,http://www.stjohnsleeds.co.uk
The White Rose Shopping Centre,LS11 8LU,53.758636,-1.5742228,Shopping Centre/Retail Park,0113 229 1234,
Albion Place,LS1 6JS,53.797692,-1.5431451,Shopping Centre/Retail Park,0113 247 6014,
The Merrion Centre,LS2 8NG,53.801704,-1.5440885,Shopping Centre/Retail Park,0113 222 1285 ,
