Centre,Address,Latitude,Longitude,Telephone ,Ward,Area Support,Area Committee,Hall,Stage,Changing room,Bar,Kitchen,Offices / Rooms,IT suite,Car Park
Allerton Bywater Miners Welfare Hall,"30-38 Station Road, Wakefield WF10 2BP",53.743727,-1.365299,0113 224 3850 (Lettings),Kippax & Methley,South & Outer East AMT,Outer East,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Allerton Bywater Youth & Adult Centre,"Leeds Road, Allerton Bywater, WF10 2DP",53.747587,-1.3730199,0113 224 3850 (Lettings),Kippax & Methley,South & Outer East AMT,Outer East,No,No,No,No,Yes,Yes,No,Yes
Bangladesh Centre Leeds ,"Roundhay Road, Leeds LS8 5AN",53.813873,-1.5207345,0113 235 0948,Gipton & Harehills,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Barleyfields Youth Centre,"Barleyfields Road, Wetherby LS22 6PN",53.932685,-1.3883136,0113 224 3850 (Lettings),Wetherby,East & North East AMT,Outer North East,Yes,No,No,No,Yes,Yes,No,Yes
Better Leeds Communities ,"42 – 46 Burley Lodge Road, Burley, Leeds LS6 1QF",53.807178,-1.5733822,0113 275 4142,Hyde Park & Woodhouse,West & North West AMT,Inner North West,No,No,No,No,Yes,Yes,Yes,No
Blackburn Hall,"Commercial Street, Rothwell, Leeds LS26 0AW",53.74858,-1.4768343,0113 224 3850 (Lettings),Rothwell,South & Outer East AMT,Outer South,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Bramley Community Centre,"Waterloo Lane, Bramley, Leeds LS13 2JB",53.813126,-1.6269484,0113 224 3850 (Lettings),Bramley & Stanningley,West & North West AMT,Inner West,Yes,No,No,No,Yes,Yes,Yes,Yes
Calverley Mechanics Institute,"Thornhill Street, Calverley, Leeds LS28 5NQ",53.828791,-1.6862899,0113 224 3850 (Lettings),Calverley & Farsley,West & North West AMT,Outer West,Yes,Yes,No,No,Yes,Yes,No,No
Churwell Community Centre ,"Elland Road, Churwell, Leeds LS27 7SY",53.762443,-1.586001,0113 214 6111,Morley North,South & Outer East AMT,Outer South,No,No,No,No,Yes,Yes,No,Yes
Cross Green Community Centre,"Cross Green, Otley, Leeds LS21 1HD",53.90577,-1.6889255,0113 224 3850 (Lettings),Otley & Yeadon,West & North West AMT,Outer North West,Yes,No,No,No,Yes,Yes,No,Yes
Crossgates Community Centre,"Maryfield Avenue, Crossgates, Leeds LS15 7TU",53.807751,-1.4651951,0113 232 6180,Killingbeck & Seacroft,East & North East AMT,Inner East,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Dame Fanny Waterman Community Centre,"Coldcotes Grove, Leeds LS9 6QJ",53.807244,-1.4913658,0113 224 3850 (Lettings),Gipton & Harehills,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Deepdale Community Centre,"Deepdale Lane, Boston Spa, Leeds LS23 6EH",53.907633,-1.3584643,01937 842345,Wetherby,East & North East AMT,Outer North East,Yes,No,No,No,Yes,No,No,No
Denis Healey Centre,"Foundry Mill Street, Seacroft, Leeds LS14 6RD",53.813788,-1.4707529,0113 224 3850 (Lettings),Killingbeck & Seacroft,East & North East AMT,Inner East,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Drighlington Meeting Hall,"Moorland Road, Drighlington, Bradford BD11 1JZ",53.753057,-1.6626496,0113 224 3850 (Lettings),Morley North,South & Outer East AMT,Outer South,Yes,No,No,No,Yes,Yes,Yes,Yes
East Ardsley Community Centre,"Main Street, East Ardsley, Wakefield WF3 2AP  ",53.723243,-1.538375,01924 822029,Ardsley & Robin Hood,South & Outer East AMT,Outer South,Yes,Yes,No,No,Yes,Yes,No,Yes
Ebor Gardens Community Centre,"Haslewood Drive, Burmantofts, Leeds LS9 7PL",53.798629,-1.520635,0113 224 3850 (Lettings),Burmantofts & Richmond Hill,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Fairfield Community Centre,"Fairfield Terrace, Bramley, Leeds LS13 3DQ",53.808994,-1.6395893,0113 255 5759,Bramley & Stanningley,West & North West AMT,Inner West,Yes,No,No,No,Yes,Yes,No,Yes
Fieldhead Community Centre,"Naburn Approach, Whinmoor, Leeds LS14 2EG",53.837653,-1.4570338,0113 224 3850 (Lettings),Crossgates & Whinmoor,South & Outer East AMT,Outer East,Yes,No,No,No,Yes,Yes,No,No
Firthfields Community Centre,"Firthfields, Garforth, Leeds, LS25 2HD",53.795405,-1.3714571,0113 283 2031,Garforth & Swillington,South & Outer East AMT,Outer East,Yes,No,No,No,Yes,Yes,No,Yes
Garforth (Miners) Welfare Hall,"56 Main Street, Garforth, Leeds LS25 1AA",53.794853,-1.3879974,0113 286 8341,Garforth & Swillington,South & Outer East AMT,Outer East,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Gildersome Youth Centre,"Street Lane, Gildersome, Leeds LS27 7HT",53.754744,-1.6339263,0113 224 3850 (Lettings),Morley North,South & Outer East AMT,Outer South,Yes,No,No,No,Yes,Yes,No,Yes
Greenacre Hall,"New Road Side, Rawdon, Leeds LS19 6AS",53.857404,-1.6878853,0113 250 4763,Guiseley & Rawdon,West & North West AMT,Outer North West,Yes,No,No,No,Yes,Yes,No,Yes
Guiseley Theatre,"21 The Green, Guiseley, Leeds, LS20 9BT",53.871977,-1.7070766,08453 705044 / 5,Guiseley & Rawdon,West & North West AMT,Outer North West,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Henry Barran Centre,"12 Amberton Grove, Gipton, Leeds LS8 3JR",53.81635,-1.4957667,0113 224 3850 (Lettings),Gipton & Harehills,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Holbeck Youth Centre,"90A Elland Road, Beeston, Leeds LS11 OAB",53.781508,-1.5610615,0113 270 6301,Beeston & Holbeck,South & Outer East AMT,Inner South,Yes,No,Yes,No,No,Yes,No,Yes
Kentmere Community Centre,"Kentmere Avenue, Seacroft, Leeds LS14 1EP",53.823908,-1.4683923,0113 224 3850 (Lettings),Killingbeck & Seacroft,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Kippax Community Centre,"Gibson Lane, Kippax, Leeds LS25 7BA",53.76705,-1.3650081,0113 224 3850 (Lettings),Kippax & Methley,South & Outer East AMT,Outer East,Yes,No,No,No,Yes,Yes,No,Yes
Lewisham Park,"Middleton Road, Morley, Leeds LS27 8DH",53.74457,-1.5923327,0113 224 3850 (Lettings),Morley South,South & Outer East AMT,Outer South,Yes,No,No,No,Yes,Yes,No,No
Lincoln Green Community Centre ,"Unit 29, Cromwell Mount, Burmantofts, Leeds LS9 7ST",53.802267,-1.5271224,0113 224 3850 (Lettings),Burmantofts & Richmond Hill,East & North East AMT,Inner East,No,No,No,No,Yes,Yes,Yes,Yes
Little London Community Centre,"Oatland Avenue, Little London, Leeds LS7 1SP",53.808522,-1.5406737,0113 224 3850 (Lettings),Hyde Park & Woodhouse,West & North West AMT,Inner North West,Yes,Yes,No,No,Yes,Yes,No,Yes
Louis Street (53),"53 Louis Street, Chapeltown, Leeds LS7 4BP",53.813063,-1.527244,0113 350 4200,Chapel Allerton,East & North East AMT,Inner North East,No,No,No,No,Yes,Yes,No,No
Lower Wortley Community Centre ,"Lower Wortley Road, Leeds, Wortley, Leeds LS12 4PX",53.783877,-1.5984173,0113 263 2677,Farnley & Wortley,West & North West AMT,Outer West,Yes,No,No,No,Yes,Yes,No,No
Mandela Centre,"Chapeltown Road, Chapeltown, Leeds LS7 3HY",53.812166,-1.5346654,0113 224 3850 (Lettings),Chapel Allerton,East & North East AMT,Inner North East,Yes,No,Yes,No,No,Yes,No,Yes
Meanwood Community Centre,"Stainbeck Avenue, Meanwood, Leeds LS7 2QU",53.827389,-1.5628157,0113 224 3850 (Lettings),Weetwood,West & North West AMT,Inner North West,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Methley Village Centre,"Main Street, Methley, Leeds LS26 9JE",53.740099,-1.397374,01977 604 098,Kippax & Methley,South & Outer East AMT,Outer East,No,No,No,No,Yes,Yes,No,Yes
Micklefield Youth & Adult Centre,"Old Fire Station, Gt. North Road, Leeds LS25 4AF",53.791233,-1.3279691,0113 224 3850 (Lettings),Kippax & Methley,South & Outer East AMT,Outer East,Yes,No,No,No,Yes,Yes,Yes,Yes
Middleton Community Centre,"17 Acre Road, Leeds, LS10 4LF",53.743937,-1.5486407,0113 224 3850 (Lettings),Middleton Park,South & Outer East AMT,Inner South,Yes,no,no,no,Yes,No,No,Yes
Morley Town Hall  ,"Queen Street, Morley, Leeds LS27 9DY",53.745762,-1.602162,0113 224 3850 (Lettings),Morley South,South & Outer East AMT,Outer South,Yes,Yes,No,No,Yes,Yes,No,No
New Wortley Community Centre,"40 Tong Road, Wortley, Leeds LS12 1LZ",53.792006,-1.5785757,0113 279 3466,Armley,West & North West AMT,Inner West,Yes,No,No,No,Yes,Yes,Yes,Yes
Prince Philip Centre,"Scott Hall Avenue, Chapel Allerton, Leeds LS7 2HJ",53.818757,-1.5425364,0113 224 3850 (Lettings),Chapel Allerton,East & North East AMT,Inner North East,Yes,No,Yes,No,Yes,Yes,No,Yes
Richmond Hill Community Centre,"Long Close Lane, Leeds LS9 8NP",53.793717,-1.5218447,0113 224 3850 (Lettings),Burmantofts & Richmond Hill,East & North East AMT,Inner East,No,No,No,No,Yes,Yes,No,No
Saint Gabriel's,"Fall Lane, Wakefield, WF3 2BX",53.72877,-1.5311452,0113 224 3850 (Lettings),Ardsley & Robin Hood,South & Outer East AMT,Outer South,Yes,No,No,No,Yes,Yes,No,No
Saint Matthew's Community Centre,"St Matthews Street, Beeston, Leeds LS11 9NR",53.78571,-1.5598339,0113 224 3850 (Lettings),Beeston & Holbeck,South & Outer East AMT,Inner South,Yes,No,No,No,Yes,Yes,No,Yes
Sandford Community Centre,"15-17 Broadlea Hill, Bramley, Leeds LS13 2SN",53.817119,-1.618954,0113 220 9786,Bramley & Stanningley,West & North West AMT,Inner West,No,No,No,No,Yes,Yes,Yes,No
Shantona Womens Centre,"Shepherd Lane, LS8 5AW ",53.815152,-1.5215097,0113 249 7120,Gipton & Harehills,East & North East AMT,Inner East,No,No,No,No,Yes,Yes,No,Yes
Strawberry Lane Community Centre,"Strawberry Lane, Leeds LS12 1SF",53.793813,-1.5864514,0113 224 3850 (Lettings),Armley,West & North West AMT,Inner West,No,No,No,No,Yes,Yes,No,Yes
Swarcliffe Community Centre,"Stanks Gardens, Leeds LS14 5LS",53.819637,-1.442411,0113 224 3850 (Lettings),Crossgates & Whinmoor,South & Outer East AMT,Outer East,Yes,No,No,No,Yes,Yes,No,Yes
Swinnow Community Centre,"Swinnow Lane, Bramley, Leeds LS13 4RF",53.800375,-1.6426238,0113 224 3850 (Lettings),Pudsey,West & North West AMT,Outer West,Yes,No,No,No,Yes,Yes,No,Yes
Tingley Community Centre ,"Smithy Lane, Blackgates Junior School, Tingley WF3 1QQ",53.728365,-1.5644947,0113 224 3850 (Lettings),Ardsley & Robin Hood,South & Outer East AMT,Outer South,Yes,No,No,No,Yes,Yes,No,Yes
Tree Tops Community Centre,"Squirrel Way, Shadwell, Leeds LS17 8FQ",53.851048,-1.5210855,0113 224 3850 (Lettings),Alwoodley,East & North East AMT,Outer North East,Yes,No,Yes,No,Yes,Yes,No,Yes
Watsonia Pavilion,"Cross Flatts Park, Beeston Road, Leeds LS11 7BQ",53.771631,-1.5563701,0113 224 3850 (Lettings),Beeston & Holbeck,South & Outer East AMT,Inner South,Yes,No,No,No,Yes,Yes,No,No
West Ardsley Community Centre,"Batley Road, Wakefield, WF3 1HD ",53.715,-1.5771634,0113 253 4968,Ardsley & Robin Hood,South & Outer East AMT,Outer South,Yes,No,No,No,Yes,Yes,No,Yes
Weston Lane Youth Centre,"St Martins Field, Otley, LS21 2FN",53.914334,-1.7023808,0113 224 3850 (Lettings),Otley & Yeadon,West & North West AMT,Outer North West,Yes,No,No,No,Yes,Yes,No,No
Windmill Youth Centre,"Marsh Lane, Rothwell, Leeds LS26 OAG",53.747048,-1.4779755,0113 224 3850 (Lettings),Rothwell,South & Outer East AMT,Outer South,Yes,Yes,No,No,Yes,Yes,No,No
Woodhouse Community Centre,"Woodhouse Street, Woodhouse, Leeds LS6 2NY",53.814075,-1.5546616,0113 242 2698,Hyde Park & Woodhouse,West & North West AMT,Inner North West,Yes,No,No,No,Yes,Yes,No,No
Yeadon Town Hall,"High Street, Yeadon, Leeds LS19 7PP",53.866076,-1.6841104,0113 224 3850 (Lettings),Otley & Yeadon,West & North West AMT,Outer North West,Yes,Yes,No,Yes,Yes,Yes,No,Yes
