Name,Postcode,Latitude,Longitude,Type,Telephone number,Website
The Botanist,LS1 6HW ,53.796005,-1.5440288,Bar,0113 205 3240,http://www.thebotanist.uk.com
Rare,LS1 6LY,53.795333,-1.5422144,Bar,0113 246 7013,http://eatdrinkrare.com/
Roland's,LS1 7BT,53.795256,-1.5408793,Bar,0113 318 2964,https://twitter.com/RolandsLeeds
LAB,LS2 8BT,53.802313,-1.5435656,Bar,0113 8877281     ,http://www.lab-leeds.co.uk/
The Brotherhood of Pursuits and Pastimes,LS1 6NU,53.799851,-1.5412239,Bar,01132 434 060,http://www.thisisthebrotherhood.com/
Manahatta,LS1 6PG,53.800252,-1.5403996,Bar,0113 2456275,http://www.arcinspirations.com
Bar Soba,LS1 6PQ,53.800484,-1.5400023,Bar,0113 242 5128,http://www.barsoba.co.uk/
Bilbao Bar,LS1 4BR,53.793741,-1.5489566,Bar,0113 245 4323,http://www.bilbaobar.co.uk
The Living Room,YO1 6DD,53.957172,-1.0846953,Bar,01904 461000,www.thelivingroom.co.uk
Be At One Leeds,LS2 3AD,53.800964,-1.5480593,Bar,0113 887 2784,http://www.beatone.co.uk/cocktail-bar/leeds
Grosvenor Casino Leeds Westgate,LS3 1LW,53.798267,-1.5625567,Bar,0113 3893700,http://www.grosvenorcasinos.com/local-casinos/leeds-westgate
North Brewing Co,LS7 1AH,53.805585,-1.5342675,Bar,0113 345 3290,http://www.northbrewing.com/
Mr Foley's Cask Ale House,LS1 5RG,53.799268,-1.5488973,Bar,0113 242 9674,
Musiquarium,LS5 3BT,53.813341,-1.6067776,Bar,0113 345 3356,
The Arc,LS6 3JJ,53.820814,-1.581492,Bar,0113 2752223,
Hirst's Yard,LS1 6NJ,53.795755,-1.5419517,Bar,0113 2459637,http://www.hirstsyard.co.uk
Hop Leeds,LS1 4BR,53.793741,-1.5489566,Bar,01924 261333,
North Bar,LS1 6NU,53.799851,-1.5412239,Bar,0113 242 4540,http://www.northbar.com
Chilli White,LS2 7DA,53.795488,-1.5404517,Bar,0113 219 4001,http://www.chilliwhite.com/
Tiger Tiger,LS2 8DY,53.800047,-1.5456399,Bar,0113 2366999,http://www.tigertiger.co.uk/leeds/
Oporto,LS1 7BT,53.795256,-1.5408793,Bar,0113 2434008,www.oportobar.co.uk
Verve ,LS1 6PQ,53.800484,-1.5400023,Bar,0113 2442272,
Sela Bar,LS1 6NU,53.799851,-1.5412239,Bar,0113 2429442,
Milo,LS1 6DN,53.796476,-1.5401069,Bar,0113 2457101,
Mook,LS1 6NJ,53.795755,-1.5419517,Bar,0113 2459967,
BRB,LS1 7BT,53.795256,-1.5408793,Bar,0113 243 0315,www.barroombar.com
The Reform Bar,LS1,53.796305,-1.5641256,Bar,0113 244 4080,
Revolution Electric Press,LS2 3AW,53.802282,-1.5472707,Bar,0113 3804992,
Revolution Call Lane,LS1 6DT,53.795375,-1.5413182,Bar,0113 2432778,
Norman Bar,LS1 6DT,53.795375,-1.5413182,Bar,0113 2343988,
Oracle Bar,LS10 1NE,53.793923,-1.5377363,Bar,0113 2469912,
The Brewery Tap,LS1 5DL,53.795488,-1.5451122,Bar,0113 2434414,http://www.brewerytapleeds.co.uk/
Fibre,LS1 6LY,53.795333,-1.5422144,Bar,0870 120 0888,
Queens Court,LS1 6NA,53.795098,-1.5417311,Bar,0113 2459449,
The Wardrobe,LS9 8AH,53.797053,-1.5335725,Bar,0113 3838800,
Stylus,LS2 9JT,53.808478,-1.5527924,Bar,0113 3801332,
Leeds University Union,LS2 9JT,53.808478,-1.5527924,Bar,0113 3801400,
Leeds Beckett Union,LS1 3HE,53.803647,-1.5491389,Bar,0113 2098435,http://www.leedsbeckettsu.co.uk/
The New Penny,LS1 7BT,53.795256,-1.5408793,Bar,0113 2438055,
Viaduct,LS1 6ER,53.795043,-1.542718,Bar,0113 2454863,
Epernay,LS1 3DW,53.800964,-1.5480593,Bar,0113  242 9977,
A Nation Of Shopkeepers,LS2 3AG,53.800548,-1.5474868,Bar,0113 203 1831 ,www.anationofshopkeepers.com
Veuve Champagne Bar,LS7 3PD,53.828005,-1.5376348,Bar,0113 262 1422 ,
The Rock Bar,LS1 6DT,53.795375,-1.5413182,Bar,0113 2468 232,http://www.therockbar.co.uk
Mojo Bar,LS1 6PQ,53.800484,-1.5400023,Bar,0845 6118643,http://www.mojobar.co.uk
Brooklyn Bar and First Floor Grill,LS1 6DT,53.795375,-1.5413182,Bar,0113 3229919       ,http://www.brooklynbar.co.uk
The Shed Bar,LS1 4LJ,53.794707,-1.5429498,Bar,0113 244 1198,http://www.theshedbar.co.uk
The Bierkeller,LS1 5RD,53.799291,-1.5476825,Bar,08455 333 000,
Shooters Sports Bar,LS1 5RD,53.799291,-1.5476825,Bar,08455 333 000,http://www.shootersportsbar.co.uk
Wax Bar and JukeJoint,LS1 6NU,53.799851,-1.5412239,Bar,0113 242 9442,
The Maven Bar,LS1 7DH,53.796294,-1.5396838,Bar,0113 243 6407,http://www.themavenbar.com/
51% Bourbon Lounge ,LS1 6NJ,53.795755,-1.5419517,Bar,0113 3229919 ,http://www.51percentbourbon.co.uk
Bar 166 Bar and Bistro,LS18 4AQ,53.840748,-1.636171,Bistro,0113 322 9910 ,http://www.bar166.co.uk
WharfeBank Brewery,LS21 1FD,53.905207,-1.6384578,Brewery,0113 284 2392,http://www.wharfebankbrewery.co.uk
Yum Yum,LS10 1NE,53.793923,-1.5377363,Cafe,07917 194516,http://www.brewerywharf.net/relaxing/yum-yum
Opposite Cafe University,LS2 9HD,53.807673,-1.5516164,Cafe,0113 243 1321,http://www.oppositecafe.co.uk
Cafe Lux,LS28 7BR,53.795467,-1.6610648,Cafe,0844 4773074,http://www.pudseywellbeingcentre.com
The Arch Cafe,LS2 8JA,53.799559,-1.5425631,Cafe,0113 3893002,http://www.thearchcafeleeds.co.uk/
Costa Coffee Woodhouse Lane,LS2 8LX,53.801374,-1.5447753,Cafe,0113 2450579,http://www.costa.co.uk/
Greedy Pig,LS2 7PN,53.801707,-1.5378026,Cafe,0113 2453596,
David Street Cafe,LS11 5WD,53.791651,-1.5525462,Cafe,0113 2454349,
Filmore & Union,LS1 6AZ,53.797891,-1.541139,Cafe,0113 2443350,http://www.filmoreandunion.com/
Le Chalet,LS1 5JD,53.79814,-1.5474823,Cafe,0113 243 0576,http://www.le-chalet.co.uk
Roots and Fruits,LS1 6PG,53.800252,-1.5403996,Cafe,0113 242 8313,http://www.rootsandfruits.net
Mill Kitchen,LS28 5UJ,53.81405,-1.6725639,Cafe,0113 2571417,http://www.millkitchen.co.uk
National Coal Mining Museum for England,WF4 4RH,53.643479,-1.6194156,Café,01924 848806,http://www.ncm.org.uk/visitors/cafe-shop-picnics
Yorkshire Sculpture Park,WF4 4LG,53.613629,-1.5741253,Café,01924 832633,
Yorkshire Sculpture Park,WF4 4LG,53.613629,-1.5741253,Cafe,01924 832631,http://www.ysp.co.uk
Swithens Farm,LS26 0BT,53.738845,-1.4746659,Cafe,0113 2828828,
Victoria Quarter,LS1 6AZ,53.797891,-1.541139,Café,,www.oppositecafe.co.uk
The Light,LS1 8TL,53.800047,-1.5456399,Cafe ,0113 245 0160,http://www.thelightleeds.co.uk/store/bagel-nash/
Victorian Tiled Hall Cafe,LS1 3AA,53.800362,-1.5481416,Café,0113 247 8256,
The Shake Bar,LS2 8LY,53.801724,-1.5447411,Café,0113 242 6023,
Engine House Cafe,LS11 5DL,53.791524,-1.5520618,Café,0113 391 2980,http://www.enginehousecafe.co.uk/
Cosmopolitan Hotel,LS1 4AE,53.794526,-1.5425116,Cafe - Afternoon Tea,0113 243 6454,http://www.peelhotels.co.uk/hotels/cosmopolitan-hotel-leeds-yorkshire-england/
Rivers Meet,LS26 9EP,53.74004,-1.4162656,Café,01977 279729,www.riversmeetcraftcafe.co.uk
Mint Cafe,LS6 3HW,53.819958,-1.5808929,Café,0113 226 4843,http://www.mint-cafe.co.uk
Cafe Lento,LS6 3HW,53.819958,-1.5808929,Café,07988 660768,www.cafelento.co.uk
HEART Cafe,LS6 3HN,53.820318,-1.5785197,Café,0113 245 4548,http://www.heartcentre.org.uk
Laynes Espresso,LS1 5DL,53.795488,-1.5451122,Café,,http://www.laynesespresso.co.uk/
Munro House,LS9 8AG,53.796784,-1.5339247,Café,,www.cafe164.com/
Sesame,LS1 2LE,53.798087,-1.5502915,Cafe,0113 243 0455,http://www.sesamesushi.co.uk/#_=_
The Sunshine Bakery,LS7 4NZ,53.830749,-1.538182,Café,0113 268 0656,http://www.sunshinebakeryleeds.co.uk/
Out of the Woods- Granary Wharf,LS1 4GL,53.793461,-1.5487015,Cafe-Bar,0113 244 8123,http://www.outofthewoods.me.uk
LS6 Cafe,LS6 2AS,53.8151,-1.562093,Cafe-Bar,0113 294 5464,http://www.ls6cafe.com/
The Riverside,LS1 4BN,53.794667,-1.55385,Cafe-Bar,0113 244 9080,http://www.theriversideleeds.co.uk/
Black Swan,LS1 7BT,53.795256,-1.5408793,Cafe-Bar,0113 8272349,http://www.blackswanleeds.co.uk/
Sociable Folk,LS1 4AP,53.795888,-1.5583155,Cafe-Bar,0113 2637915,http://www.sociablefolk.co.uk
Revolución de Cuba,LS1 6DT,53.795375,-1.5413182,Cafe-Bar,0113 3506556,http://www.revoluciondecuba.com/bar/leeds/
Golf Cafe Bar,LS1 4ED,53.793575,-1.5479109,Cafe-Bar,0113 244 4428,
Santiago,LS1 6PG,53.800252,-1.5403996,Cafe-Bar,0113 2444472,
The New Conservatory,LS1 6JL,53.797966,-1.5443719,Cafe-Bar,0113 2461853,http://www.thenewconservatory.co.uk/
LS17,LS17 7HW,53.85235,-1.5437666,Cafe-Bar,0113 2662594 ,
Out of the Woods- Water Lane,LS11 5WD,53.791651,-1.5525462,Cafe-Bar,0113 244 8123,http://www.outofthewoods.me.uk/
White Cloth Gallery,LS1 4HT,53.795491,-1.5505622,Cafe-Bar,0113 218 1923,
Salt's Deli,LS1 4AG,53.794278,-1.5434707,Delicatessen,0113 243 2323 ,
Pickles & Potter Deli,LS6 3AB,53.820872,-1.5775572,Delicatessen,0113 242 7702 ,www.picklesandpotter.co.uk/contact.php
Hepworth's Deli,LS1 6LQ,53.798616,-1.5427404,Delicatessen,07938 960517,http://www.hepworthsdeli.co.uk/
Friends of Ham,LS1 5DL,53.795488,-1.5451122,Delicatessen,0113 242 0275,www.friendsofham.com
Graveley Fisheries,LS2 7HY,53.79763,-1.5386368,Fish & Chips,0113 243 5126,
Nash's,LS2 8JE,53.80041,-1.5418403,Fish & Chips,0113 285 5960,http://www.nashsfishandchips.com
Holbeck WMC,LS11 9QX,53.785108,-1.5550745,Public House,0113 2456296,http://www.leedssocialclubs.co.uk/#/holbeck-wmc/4527718427
The Packhorse,LS1 6AT,53.797555,-1.5427671,Public House,0113 2424 810,
The Pit,LS1 6PQ,53.800484,-1.5400023,Public House,0113 247 06 01,http://www.arcinspirations.com/the_pit
Belgrave Music Hall and Canteen,LS2 8JP,53.80091,-1.5410149,Public House,0113 2346160,http://www.belgravemusichall.com
360 Champagne & Cocktails,LS1 5AT,53.796806,-1.5443237,Public House,0113 3942415,http://trinityleeds.com/shops/360-champagne-cocktails
Aire Bar,LS2 7EW,53.794872,-1.5391225,Bar,0113 2455500,http://www.airebar.co.uk/
All Bar One Greek Street,LS1 5BN,53.798567,-1.5489352,Public House,0113 245 2485,http://www.allbarone.co.uk/all-bar-one-greek-street-leeds/
Baa Bar Millennium Square,LS2 3AW,53.802282,-1.5472707,Public House,0113 2444213,http://www.baabar.co.uk
Blind Tyger,LS2 8JP,53.80091,-1.5410149,Bar,0113 246 0770,http://www.blindtyger.co.uk
Roundhay Fox,LS8 2EP,53.83951,-1.5040141,Public House,0113 269 3352,http://www.vintageinn.co.uk/theroundhayfoxleeds
Library Pub,LS2 3AP,53.811797,-1.5584825,Public House,0113 2440794,screampubs.co.uk/thelibraryleeds
Carpe Diem,LS1 3ED,53.800598,-1.5486553,Public House,0113 243 6264,
The Cross Keys,LS11 5WD,53.791651,-1.5525462,Public House,0113 243 3711,http://www.the-crosskeys.com
Duck and Drake,LS2 7DR,53.796172,-1.5381974,Public House,0113 246 5806,
Whitelocks,LS1 6HB,53.797207,-1.5433781,Public House,0113 245 3950,http://www.whitelocksleeds.com
The Northern Monkey,LS1 5JW,53.799339,-1.5460726,Public House,0113 242 6630,
The Adelphi,LS10 1JQ,53.792981,-1.5406157,Public House,0113 2456377,
The Reliance,LS2 7PN,53.801707,-1.5378026,Public House,0113 2956060,http://www.the-reliance.co.uk
The Packhorse Pub,LS2 9DX,53.81006,-1.5552661,Public House,0113 2453980,
The New Roscoe,LS7 1DH,53.805451,-1.5321735,Public House,0113 246 0778,
The Fenton,LS2 3ED,53.805634,-1.5495579,Public House,0113 2453908 ,
Hyde Park Pub,LS6 2AS,53.8151,-1.562093,Public House,0113 274 5597,http://www.hydeparkhotelleeds.co.uk/
The Cardigan Arms,LS4 2HQ,53.806664,-1.5831514,Public House,0113 2742000,
The Royal Park,LS6 1NY,53.809647,-1.5702591,Public House,0113 275 7494,http://www.theroyalparkleeds.co.uk
Dry Dock,LS2 3AX,53.804468,-1.5476724,Public House,0113 391 2658,
Bingley Arms,LS17 9DR,53.881585,-1.4487068,Public House,01937 572462,www.bingleyarms.co.uk
The Manor House,LS21 1HB,53.905344,-1.6908008,Public House,01943 463807,
The White Swan,LS1 6LG,53.79895,-1.5431467,Public House,0113 242 0187,http://www.whiteswanleeds.co.uk
Town Hall Tavern,LS1 2RA,53.799362,-1.5523731,Public House,0113 244 0765,http://www.townhalltavernleeds.co.uk/
Sky Lounge,LS1 4BR,53.793741,-1.5489566,Bar,0113 241 1000,http://www.leedscitycentre.doubletree.com
Wetherby Racecourse,LS22 5EJ,53.931883,-1.3585038,Racecourse,,
Dish Dining Room,LS1 6EA,53.795683,-1.54426,Restaurant,0113 318 2274,http://dishdining.co.uk/
Gaucho,LS1 5JF,53.799026,-1.5466681,Restaurant,0113 246 1777,http://www.gauchorestaurants.com
Wasabi Teppan Yaki,LS1 4BR,53.793741,-1.5489566,Restaurant,0113 2451856,http://wasabiteppanyaki.com
Pickled Pepper,LS11 5WH,53.791246,-1.552338,Restaurant,0113 234 4888,http://pickledpepperleeds.co.uk/
The New Ellington,LS1 2EY,53.797239,-1.5541112,Restaurant,0113 834 7225,http://www.thenewellington.com/
Calverley Fish Shop,LS28 5PD,53.829063,-1.6871083,Restaurant,07735 456407,
Littlemoor Fish and Chips,LS28 8AP,53.786613,-1.6576452,Restaurant,0113 204 0800,
The Alchemist,LS1 6HW,53.796005,-1.5440288,Restaurant,0113 246 0540,http://www.thealchemist.uk.com
The Botanist,LS1 6HW ,53.796005,-1.5440288,Restaurant,0113 205 3240,http://thebotanist.uk.com/location/trinity-leeds
Handmade Burger Co,LS1 5ER,53.796319,-1.5461052,Restaurant,0113 246 1742,http://handmadeburger.co.uk/
Giraffe,LS1 5AY,53.796571,-1.5438708,Restaurant,0113 2341122,http://www.giraffe.net/
Rudding Park Hotel,HG3 1JH ,53.973104,-1.4969262,Restaurant,01423 871350,http://www.ruddingpark.co.uk/
Rudding Park Hotel,HG3 1JH ,53.973104,-1.4969262,Restaurant,01423 871350,http://www.ruddingpark.co.uk/
The Wrens Hotel,LS2 8JD,53.800184,-1.5415694,Restaurant,0113 2458888,http://www.thewrenshotel.co.uk/
The Wrens Hotel,LS2 8JD,53.800184,-1.5415694,Restaurant,0113 2458888,http://www.thewrenshotel.co.uk/?
The Tetley,LS10 1JQ,53.792981,-1.5406157,Restaurant,0113 3202423,http://thetetley.org/bar-kitchen/
Roast + Conch,LS1 5EL,53.796319,-1.5461052,Restaurant,0113 2442421,http://www.hotelchocolat.com/uk/restaurants/locations/roast-and-conch
All Bar One Millennium,LS2 3AD,53.800964,-1.5480593,Restaurant,0113 244 8835,http://www.allbarone.co.uk/all-bar-one-millennium-square-leeds
Filmore & Union,LS1 6AZ,53.797891,-1.541139,Restaurant,01132 441518,http://www.filmoreandunion.com
Korks Wine Bar & Brasserie,LS21 1AD,53.904061,-1.6915713,Restaurant,01943 462020,http://www.korks.co.uk
Pho,LS1 5AT,53.796806,-1.5443237,Restaurant - Vietnamese,0113 8345029,http://trinityleeds.com/shops/pho
Rare,LS1 6LY,53.795333,-1.5422144,Restaurant,0113 246 7013,http://eatdrinkrare.com/
The Man Behind The Curtain,LS1 7JH,53.798424,-1.5395239,Restaurant,0113 243 2376,http://www.themanbehindthecurtain.co.uk
MEATliquor Leeds,LS1 5AT,53.796806,-1.5443237,Restaurant & Bar,0113 834 6090,http://www.meatliquor.com/leeds
Bilbao Bar,LS1 4BR,53.793741,-1.5489566,Restaurant - Basque,0113 245 4323,http://www.bilbaobar.co.uk
Cabana Brasilian Barbecue,LS1 5AT,53.796806,-1.5443237,Restaurant - Brasilian Barbecue,0113 3917500,http://www.cabana-brasil.com/
Candlebar,LS1 4GJ,53.793317,-1.5508283,Restaurant - Bar,0113 2446655,http://www.candlebarleeds.co.uk
Nourish,LS1 5BQ,53.797712,-1.5460598,Restaurant,,http://www.nourishrestaurants.co.uk
Grosvenor Casino Leeds Westgate,LS3 1LW,53.798267,-1.5625567,Restaurant,0113 3893700,http://www.grosvenorcasinos.com/local-casinos/leeds-westgate
Smoke Barbecue Leeds,LS2 8BT,53.802313,-1.5435656,Restaurant,0113 3720720,http://www.smokebbq.co.uk
MR PITTA,LS1 6AL,53.797506,-1.5439214,Street Food,,http://www.mrpitta.co.uk
Iberica Leeds,LS1 2BH ,53.799297,-1.5493373,Restaurant,01134 037 007,http://www.ibericarestaurants.com
Byron,LS1 6AW,53.797659,-1.5439046,Restaurant,0113 243 4444,
"The Fishermans Wife, Headingley",LS16 5LT,53.827837,-1.5825919,Restaurant,01132 785679,http://thefishermanswife.co.uk/
Hayley and Clifford Delicatessen,LS8 1AP,53.844134,-1.509355,Restaurant,0113 2370334,
Stew and Oyster Bar,LS2 7EW,53.794872,-1.5391225,Restaurant,0113 242 5299,
